"district","candidate_placement","candidate_name","candidate_answer_status","candidate_url","party","done","candidate_photo_url"
"Suðvestur",1,"Guðmundur Steingrímsson","cand ok","/kosningar2013/frambod/fulltrui/Gudmundur-Steingrimsson/","Björt framtíð",1,"/media/althingi/dv-gudmsteingr_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Freyja Haraldsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Freyja-Haraldsdottir/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Freyja_Haraldsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Guðlaug Kristjánsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Gudlaug-Kristjansdottir/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Gulaug_Kristj%D0%B0nsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Erla Karlsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Erla-Karlsdottir/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Erla_Karlsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Pétur Óskarsson","cand ok","/kosningar2013/frambod/fulltrui/Petur-Oskarsson/","Björt framtíð",1,"/media/althingi2013/frambjodendur/P%D0%92tur_%D1%80skarsson_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Bjarni Benediktsson","cand not","/kosningar2013/frambod/fulltrui/Bjarni-Benediktsson/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/DV_vantraust_15_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Ragnheiður Ríkharðsdóttir","cand not","/kosningar2013/frambod/fulltrui/Ragnheidur-Rikhardsdottir/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/Ragnhei%C3%B0ur_R%C3%ADkhar%C3%B0sd%C3%B3ttir_2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Jón Gunnarsson","cand not","/kosningar2013/frambod/fulltrui/Jon-Gunnarsson/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/J%C3%B3n_Gunnarsson001_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Vilhjálmur Bjarnason","cand ok","/kosningar2013/frambod/fulltrui/Vilhjalmur-Bjarnason/","Sjálfstæðisflokkurinn",1,"/media/althingi2013/frambjodendur/DV0810071227_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Elín Hirst","cand ok","/kosningar2013/frambod/fulltrui/Elin-Hirst/","Sjálfstæðisflokkurinn",1,"/media/althingi2013/frambjodendur/DV1209196211-008_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Árni Páll Árnason","cand not","/kosningar2013/frambod/fulltrui/Arni-Pall-Arnason/","Samfylkingin",0,"/media/althingi2013/frambjodendur/20120822_Eythor_ArniP%C3%A1ll-005_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Katrín Júlíusdóttir","cand not","/kosningar2013/frambod/fulltrui/Katrin-Juliusdottir/","Samfylkingin",0,"/media/althingi2013/frambjodendur/DV_katrin__04_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Magnús Orri Schram","cand ok","/kosningar2013/frambod/fulltrui/Magnus-Orri-Schram/","Samfylkingin",1,"/media/althingi2013/frambjodendur/DV0907029803_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Margrét Gauja Magnúsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Margret-Gauja-Magnusdottir/","Samfylkingin",1,"/media/althingi2013/frambjodendur/Margr%C3%A9t_Gauja_Magn%C3%BAsd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Lúðvík Geirsson","cand ok","/kosningar2013/frambod/fulltrui/Ludvik-Geirsson/","Samfylkingin",1,"/media/althingi2013/frambjodendur/DV1930190307_Straumsv%C3%ADk_07_2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Eygló Harðardóttir","cand ok","/kosningar2013/frambod/fulltrui/Eyglo-Hardardottir/","Framsóknarflokkurinn",1,"/media/althingi2013/frambjodendur/DV1302076983_03_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Willum Þór Þórsson","cand ok","/kosningar2013/frambod/fulltrui/Willum-THor-THorsson/","Framsóknarflokkurinn",1,"/media/althingi2013/frambjodendur/DV12507111007_Willum_%C3%A1_19_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Þorsteinn Sæmundsson","cand ok","/kosningar2013/frambod/fulltrui/THorsteinn-Saemundsson/","Framsóknarflokkurinn",1,"/media/althingi2013/nopic.jpg"
"Suðvestur",4,"Sigurjón Norberg Kjærnested","cand ok","/kosningar2013/frambod/fulltrui/Sigurjon-Norberg-Kjaernested/","Framsóknarflokkurinn",1,"/media/althingi2013/frambjodendur/Sigurj%C3%B3n_Kj%C3%A6rnested_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Ólöf Pálína Úlfarsdóttir","cand not","/kosningar2013/frambod/fulltrui/Olof-Palina-Ulfarsdottir/","Framsóknarflokkurinn",0,"/media/althingi2013/frambjodendur/%C3%93l%C3%B6f_P%C3%A1l%C3%ADna_%C3%9Alfarsd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Ögmundur Jónasson","cand not","/kosningar2013/frambod/fulltrui/Ogmundur-Jonasson/","Vinstri græn",0,"/media/althingi2013/frambjodendur/DV120530374_05_1_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Rósa Björk Brynjólfsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Rosa-Bjork-Brynjolfsdottir/","Vinstri græn",1,"/media/althingi2013/frambjodendur/R%C3%B3sa_Bj%C3%B6rk_Brynj%C3%B3lfsd%C3%B3ttir_JPG_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Ólafur Þór Gunnarsson","cand ok","/kosningar2013/frambod/fulltrui/Olafur-THor-Gunnarsson/","Vinstri græn",1,"/media/althingi2013/frambjodendur/%C3%93lafur_%C3%9E%C3%B3r_Gunnarsson_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Guðbjörg Sveinsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Gudbjorg-Sveinsdottir/","Vinstri græn",1,"/media/althingi2013/frambjodendur/DV1206051690-001_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Garðar H. Guðjónsson","cand ok","/kosningar2013/frambod/fulltrui/Gardar-H-Gudjonsson/","Vinstri græn",1,"/media/althingi2013/frambjodendur/Gar%C3%B0ar_H._Gu%C3%B0j%C3%B3nsson_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Margrét Tryggvadóttir","cand ok","/kosningar2013/frambod/fulltrui/Margret-Tryggvadottir/","Dögun",1,"/media/althingi2013/frambjodendur/margr%C3%A9t_tryggvad%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Álfheiður Eymarsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Alfheidur-Eymarsdottir/","Dögun",1,"/media/althingi2013/frambjodendur/%C3%81lfhei%C3%B0ur_Eymarsd%C3%B3ttir_1_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Jón Jósef Bjarnason","cand ok","/kosningar2013/frambod/fulltrui/Jon-Josef-Bjarnason/","Dögun",1,"/media/althingi2013/frambjodendur/DV0909037873_01_2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Baldvin Björgvinsson","cand ok","/kosningar2013/frambod/fulltrui/Baldvin-Bjorgvinsson/","Dögun",1,"/media/althingi2013/frambjodendur/Baldvin_Bj%C3%B6rgvinsson_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Guðrún Lilja Guðmundsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Gudrun-Lilja-Gudmundsdottir/","Dögun",1,"/media/althingi2013/frambjodendur/Gu%C3%B0r%C3%BAn_Lilja_Gu%C3%B0mundsd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Birgitta Jónsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Birgitta-Jonsdottir/","Píratar",1,"/media/althingi2013/frambjodendur/THS_20130329_031-Edit_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Björn Leví Gunnarsson","cand ok","/kosningar2013/frambod/fulltrui/Bjorn-Levi-Gunnarsson/","Píratar",1,"/media/althingi2013/frambjodendur/THS_20130404_058-Edit_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Hákon Einar Júlíusson","cand ok","/kosningar2013/frambod/fulltrui/Hakon-Einar-Juliusson/","Píratar",1,"/media/althingi2013/frambjodendur/THS_20130326_010-2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Árni Þór Þorgeirsson","cand ok","/kosningar2013/frambod/fulltrui/Arni-THor-THorgeirsson/","Píratar",1,"/media/althingi2013/frambjodendur/THS_20130326_111-Edit-2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Berglind Ósk Bergsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Berglind-Osk-Bergsdottir/","Píratar",1,"/media/althingi2013/frambjodendur/THS_20130328_048-Edit-2_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",1,"Lýður Árnason","cand ok","/kosningar2013/frambod/fulltrui/Lydur-Arnason/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/L%D1%8Cur_rnason_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",2,"Ástrós Signýjardóttir","cand ok","/kosningar2013/frambod/fulltrui/Astros-Signyjardottir/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/str%D0%B2s_Sign%D1%8Cjard%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",3,"Friðrik Hansen Guðmundsson","cand ok","/kosningar2013/frambod/fulltrui/Fridrik-Hansen-Gudmundsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/Fririk_Hansen_Gumundsson_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",4,"Guðrún Guðlaugsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Gudrun-Gudlaugsdottir/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/Gur%D0%B3n_Gulaugsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Suðvestur",5,"Árni Stefán Árnason","cand not","/kosningar2013/frambod/fulltrui/Arni-Stefan-Arnason/","Lýðræðisvaktin",0,"/media/althingi2013/frambjodendur/rni_Stef%D0%B0n_rnason_jpg_310x400_crop_upscale_q95.jpg"
